aid,weighted
1020,0.8124056424739148
1021,0.0625585180567084
1091,0.027045457451365475
1115,0.6655941761891762
1156,0.0457037821520151
1215,0.4391449544213845
124,0.7414252548323333
1255,0.023047855735721948
1414,0.6199893628490938
143,0.002664408246765
149,0.014852636773322153
1577,0.040763760302504636
1601,0.02756930458287
1609,0.02636585970184645
1610,0.03344357639738695
1642,0.6337523104558708
1643,0.6945428375216075
1674,0.0229436408705017
1677,0.00803701423407095
1683,0.5205513869493913
1698,0.6962736270907911
1729,0.6552077598027963
1751,0.0966725199757111
1819,0.015883011827476284
1833,0.6838419124002401
1845,0.0659842748999728
1868,0.04973317441479377
1966,0.4977660293995939
1990,0.040113852654329624
203,0.0264820930474214
208,0.6347618440479054
2099,0.7842633525606991
2131,0.6696395023384888
2138,0.026493542895807527
2152,0.1845592731613105
2235,0.6631391087963707
2255,0.04450935692236925
2258,0.02200567717380826
2291,0.7058126864934235
2300,0.0479920548879949
2306,0.5768941863110147
2314,0.042102902891659424
2367,0.04188584525505759
2410,0.05753575915536504
2418,0.0589568905320704
2431,0.6774346189670672
2438,0.049562966146168244
2441,0.049682854920371854
2451,0.12812474489046122
2464,0.6613885116188268
2468,0.43840137675601754
2471,0.06480428834002765
2480,0.016224097704545037
2482,0.7196019125357297
2492,0.6344796509167585
2496,0.0851341964211383
251,0.0184741657536995
2537,0.01244527735607047
2541,0.03937000529468147
2543,0.0154191245269827
255,0.46419338676258376
2562,0.6045309336540189
2635,0.6641199566433149
2651,0.26925620709445663
2659,0.0198383032921146
2661,0.7216632540165433
2680,0.6931443443870028
2685,0.5841067297560506
2689,0.6332250973678948
2734,0.08004305834792863
2751,0.737848102496698
2756,0.21384369715852014
2768,0.05584924864058685
2773,0.6750405684470917
2788,0.9280612527628728
2792,0.049597243419503396
2812,0.7174162559016729
2818,0.03960918503122263
2828,0.6784633747334922
2845,0.053574764264383054
2855,0.039297538473774
2895,0.07283598936879657
2896,0.7222221802286987
2905,0.7874683398477482
2920,0.7072808310463373
2945,0.0320846461165066
2963,0.0253305601522607
298,0.22631321471846905
2997,0.598238768753646
301,0.02335994392224075
3017,0.03181015745574065
3056,0.6993022063120584
3078,0.6304661971352796
3089,0.0553820215297083
3097,0.7062078499275235
3101,0.025015657392291002
3128,0.7311008238009461
3137,0.06390427069291917
3210,0.7392071120935533
3232,0.6785288763094454
3249,0.6270016441803198
3250,0.7057997556284042
3251,0.6285800276548256
3269,0.097438835058184
3275,0.0400823450098819
3280,0.060023669970677
3294,0.0393604255820337
3295,0.05665345036439805
3316,0.060387786431617
3332,0.03728833578776602
3375,0.0720472300263213
3386,0.6417627411693769
3406,0.0540010518575228
3412,0.0095704898651741
3413,0.0635362898589076
343,0.04103310354735517
3432,0.03147439947781987
349,0.6482487872258008
3505,0.7075665003466889
3507,0.6375538747614353
3519,0.7805705261956952
3525,0.0689860812101942
3542,0.31855481640900196
3547,0.05212378543204945
3558,0.04026308428674324
3560,0.6882054605945164
3585,0.8017769253160895
3590,0.06736466679858394
3611,0.1642542520489359
3625,0.7018271861032862
3639,0.6501644547991752
3653,0.6249205952580655
3665,0.6948058955285189
3667,0.7048577966493202
3693,0.6699729960427747
3703,0.6163811140625779
3716,0.7930491553557654
3723,0.7229205962766572
3735,0.053409563782583276
3754,0.0736702692965424
3755,0.7179733671060586
3759,0.7464023375832934
3763,0.6930089189388118
3780,0.654331426418304
3784,0.7621643443365185
3785,0.6729860607192679
3800,0.673667728568035
3802,0.6313338135772388
3810,0.029877053746085448
3816,0.8495903801867098
3817,0.6538920675392671
3833,0.7372367116482422
3854,0.6924043660964665
3862,0.6552122816128584
3863,0.0722413155922714
3866,0.7305902609175254
3872,0.8080164093591624
3885,0.05337804204756575
3894,0.0252506985154506
391,0.6507212585123088
3917,0.9998089710454546
3961,0.6693802327916004
3962,0.0359712592949344
3963,0.8115185449355948
3964,0.6579719155091326
3986,0.7330414211868115
3998,0.7826140875719646
401,0.06568273352730776
4014,0.0372125471265749
4026,0.1303109086818741
4040,0.747721252331105
4043,0.7099292774008022
452,0.7019879964780843
499,0.6622897651429855
519,0.0160586102100134
531,0.1732993642930164
577,0.04512780742349155
583,0.6536905817277239
595,0.022941338180456648
60,0.6323276059900159
643,0.0626009595982822
655,0.6838011085152103
657,0.6215717514173896
667,0.6975469020667553
677,0.6679482381409103
806,0.6546470642917854
82,0.008110686539218575
894,0.6500614734515417
915,0.6445256315227271
929,0.6988733023540733
952,0.0383572166110147
972,0.0078712512342637
