filename,weighted,book_id,title,aid,vid
3917_163022,0.9967824330430194,3917,志乃与恋 Future,3917,163022
2788_110290,0.9281482974245268,2788,将放言说不会输的高颜值女孩，全力征服的百合故事,2788,110290
3763_163631,0.9137918541462302,3763,心上人的妹妹(我心爱之人的妹妹),3763,163631
3585_162175,0.8757091766005728,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事),3585,162175
3542_149292,0.8579891274972299,3542,CARNEADES,3542,149292
3816_158814,0.8489751650558192,3816,猫之山宁宁子是猫族,3816,158814
3872_161224,0.8433611078613596,3872,人妻教师被班里的女高中生迷的神魂颠倒的故事,3872,161224
2896_117063,0.8320960316789046,2896,将放言说女生之间不可能的女孩子，在百日之内彻底攻陷的百合故事,2896,117063
3519_148571,0.8184523485797667,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,148571
3519_166567,0.8161696215489536,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,166567
2751_107817,0.8153962483244855,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,2751,107817
3963_164265,0.799350367253766,3963,摩卡奇诺-小学生百合短篇集-,3963,164265
3519_160917,0.7973065450981937,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,160917
3763_164862,0.7941463486051776,3763,心上人的妹妹(我心爱之人的妹妹),3763,164862
3585_149565,0.7927517636455589,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事),3585,149565
3585_156877,0.7891535910664762,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事),3585,156877
3519_153113,0.7888699642518067,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,153113
1020_29857,0.7853724052484429,1020,384403km 绑架你到月球,1020,29857
2099_75597,0.784490172179009,2099,Aster girl（紫菀少女）,2099,75597
2905_117172,0.7825094800859148,2905,被百合夹击的女子有罪吗？(夹在百合中间的女人，有罪吗？),2905,117172
3763_161237,0.7814851307765793,3763,心上人的妹妹(我心爱之人的妹妹),3763,161237
3585_156682,0.7780550511865534,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事),3585,156682
3519_146347,0.7776297076733849,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,146347
3998_165601,0.7742355841656653,3998,班上的公主是我的小狗,3998,165601
3585_152730,0.771848470480186,3585,败给性格恶劣的天才儿时玩伴，初体验全部被她夺走(败给了性格恶劣的天才青梅，初体验全部被夺走这件事),3585,152730
3519_157441,0.7659000216734063,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,157441
3519_145969,0.7581268954752897,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,145969
3763_157110,0.7560346244902338,3763,心上人的妹妹(我心爱之人的妹妹),3763,157110
2756_134755,0.7552864334895161,2756,转生公主与天才千金的魔法革命(转生王女与天才千金的魔法革命),2756,134755
2751_118989,0.7536234325268197,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,2751,118989
3872_161210,0.7504977704587071,3872,人妻教师被班里的女高中生迷的神魂颠倒的故事,3872,161210
2468_144039,0.7499377171629593,2468,里世界远足(里世界郊游),2468,144039
2751_125697,0.7434634266293221,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,2751,125697
2751_141461,0.7419136348054559,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,2751,141461
4040_167040,0.7377117993261977,4040,夏天的少女归来了,4040,167040
3866_160899,0.7373908686392757,3866,与她女友的不纯初恋,3866,160899
2751_122070,0.7358657657440418,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,2751,122070
3128_142015,0.7344566337985264,3128,我的初恋对象与人接吻了,3128,142015
3625_151723,0.7322702864478327,3625,捡到小猫，我也仅是小猫,3625,151723
3128_130682,0.7320487908008185,3128,我的初恋对象与人接吻了,3128,130682
3833_159575,0.7298831893020794,3833,在放学后的教室里，恋爱浮现,3833,159575
2751_136813,0.7291418297314586,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,2751,136813
2482_106168,0.7288504995495791,2482,终将成为你 关于佐伯沙弥香(终将成为你 佐伯沙弥香的追忆),2482,106168
3866_166204,0.7239090704796071,3866,与她女友的不纯初恋,3866,166204
3519_148314,0.7228797211062319,3519,我买下了与她的每周密会～以五千圆为借口，共度两人时光～(一周一次买下同班同学的那些事),3519,148314
124_19645,0.721516404345942,124,惊爆草莓,124,19645
3056_130465,0.7197153206906352,3056,截稿日之前，百合的进度特别快,3056,130465
2291_84182,0.718677828542024,2291,少女妄想中,2291,84182
3097_128077,0.717165490884676,3097,无法忘怀的魔女故事(无法忘却的魔女物语),3097,128077
3128_129602,0.7167353383858381,3128,我的初恋对象与人接吻了,3128,129602
2482_93118,0.7166191898783749,2482,终将成为你 关于佐伯沙弥香(终将成为你 佐伯沙弥香的追忆),2482,93118
452_16680,0.7135381864712734,452,菖蒲的少女革命！,452,16680
124_6298,0.7125064958322707,124,惊爆草莓,124,6298
3755_156737,0.7103402819029003,3755,碱性劣等生,3755,156737
2451_127924,0.7102325863534134,2451,「凭你也想讨伐魔王？」被勇者小队逐出队伍，只好在王都自在过活(你这种家伙别想打赢魔王),2451,127924
2751_166872,0.7095471219169901,2751,我们不可能成为恋人！绝对不行。(※似乎可行？)（我怎么可能成为你的恋人，不行不行！）,2751,166872
3723_155603,0.7087490524014016,3723,她她,3723,155603
