text_id,total_lines,yuri_lines,yuri_concentration
1966_69040,808,115,0.142
1966_73874,923,122,0.132
1966_75787,799,149,0.186
1966_77579,749,125,0.167
1990_70386,1854,55,0.03
1990_70731,1487,7,0.005
1990_85340,2163,67,0.031
1990_86235,1213,18,0.015
1990_89877,1715,44,0.026
1990_89890,1498,7,0.005
1990_91522,1201,43,0.036
1990_113126,1095,38,0.035
1990_116250,2287,49,0.021
1990_134304,2156,47,0.022
1990_142308,965,30,0.031
1990_147036,1001,16,0.016
1990_150239,1650,31,0.019
2099_75597,241,95,0.394
2131_77090,1620,184,0.114
2131_82072,1486,246,0.166
2138_77304,1430,67,0.047
2138_81005,1894,80,0.042
2138_86516,1738,81,0.047
2138_90034,2015,139,0.069
2141_77452,1254,1,0.001
2152_77900,1562,24,0.015
2152_79067,1776,17,0.01
2152_80684,2088,102,0.049
2152_82625,1983,51,0.026
2152_86579,2243,32,0.014
2152_89132,1977,40,0.02
2152_92927,1698,36,0.021
2152_97205,2121,98,0.046
2152_106047,1781,17,0.01
2152_109918,1644,64,0.039
2152_112766,74,0,0.0
2152_112870,2137,84,0.039
2152_113497,633,98,0.155
2152_114477,1607,36,0.022
2152_115107,2210,91,0.041
2152_117475,2115,82,0.039
2152_119565,1897,85,0.045
2152_128293,1814,68,0.037
2152_131798,1973,72,0.036
2152_137195,1905,43,0.023
2152_139562,1810,104,0.057
2152_141783,85,12,0.141
2152_145859,1692,80,0.047
2152_159173,1966,230,0.117
2235_81534,1382,179,0.13
2235_90022,1380,195,0.141
2255_82490,2090,141,0.067
2255_87549,2047,116,0.057
2255_91205,2148,64,0.03
2255_94086,1911,187,0.098
2255_97803,1813,210,0.116
2255_98786,1788,106,0.059
2255_99805,1891,125,0.066
2255_100338,1821,119,0.065
2255_100339,1904,149,0.078
2255_102172,1826,151,0.083
2255_104473,2072,294,0.142
2255_104788,1525,72,0.047
2255_108413,455,54,0.119
2255_110452,1232,27,0.022
2255_110545,1628,183,0.112
2255_114032,1429,107,0.075
2255_120784,1857,177,0.095
2255_120785,1672,149,0.089
2255_129283,1538,160,0.104
2255_142921,1470,167,0.114
2255_144017,1717,149,0.087
2255_149789,1891,41,0.022
2255_154587,1706,148,0.087
2255_160649,1420,83,0.058
2255_165709,1296,109,0.084
2258_82574,1381,84,0.061
2258_86246,1325,34,0.026
2258_86255,1333,67,0.05
2258_164542,1451,63,0.043
2258_164551,1109,31,0.028
2258_164560,1306,31,0.024
2258_164661,1343,36,0.027
2258_164670,1289,41,0.032
2291_84182,1215,299,0.246
2291_106328,311,57,0.183
2300_84761,1628,92,0.057
2306_84905,1097,144,0.131
2306_98863,1734,237,0.137
2306_98864,1132,117,0.103
2314_85321,2123,135,0.064
2314_91290,2154,184,0.085
2314_91365,1829,160,0.087
2314_97462,1874,142,0.076
2367_87720,1779,120,0.067
2367_87736,1598,112,0.07
2367_90830,1494,109,0.073
2367_93911,1886,276,0.146
2367_97745,1816,128,0.07
2367_109978,1861,120,0.064
2367_117201,1380,133,0.096
2367_128760,901,117,0.13
2367_133856,114,7,0.061
2410_89519,1358,53,0.039
