text_id,total_lines,yuri_lines,yuri_concentration
1868_132065,981,34,0.035
1868_132354,1196,99,0.083
1966_69040,1523,169,0.111
1966_73874,1408,93,0.066
1966_75787,1395,162,0.116
1966_77579,1517,184,0.121
1990_70386,2328,0,0.0
1990_70731,1960,0,0.0
1990_85340,2511,9,0.004
1990_86235,1672,0,0.0
1990_89877,1915,0,0.0
1990_89890,1845,0,0.0
1990_91522,1260,0,0.0
1990_113126,1578,0,0.0
1990_116250,2820,0,0.0
1990_134304,1988,1,0.001
1990_142308,1164,0,0.0
1990_147036,1360,0,0.0
1990_150239,1897,0,0.0
2099_75597,340,66,0.194
2131_77090,1407,112,0.08
2131_82072,1428,171,0.12
2138_77304,1663,0,0.0
2138_81005,1332,0,0.0
2138_86516,1889,6,0.003
2138_90034,1664,5,0.003
2141_77452,655,0,0.0
2152_77900,1495,3,0.002
2152_79067,1438,0,0.0
2152_80684,1823,0,0.0
2152_82625,1928,0,0.0
2152_86579,1845,0,0.0
2152_89132,2042,0,0.0
2152_92927,2004,0,0.0
2152_97205,2060,3,0.001
2152_106047,1944,6,0.003
2152_109918,1693,0,0.0
2152_112766,94,0,0.0
2152_112870,1838,14,0.008
2152_113497,884,14,0.016
2152_114477,3145,1,0.0
2152_115107,2249,0,0.0
2152_117475,2378,11,0.005
2152_119565,2073,0,0.0
2152_128293,2098,0,0.0
2152_131798,1914,0,0.0
2152_137195,2109,5,0.002
2152_139562,1859,0,0.0
2152_141783,41,0,0.0
2152_145859,1971,0,0.0
2152_159173,1638,0,0.0
2235_81534,1589,134,0.084
2235_90022,1470,92,0.063
2255_82490,1730,34,0.02
2255_87549,1505,0,0.0
2255_91205,1598,0,0.0
2255_94086,1546,48,0.031
2255_97803,1383,18,0.013
2255_98786,1393,14,0.01
2255_99805,1089,35,0.032
2255_100338,1517,12,0.008
2255_100339,1588,14,0.009
2255_102172,1573,29,0.018
2255_104473,1728,38,0.022
2255_104788,1209,12,0.01
2255_108413,329,12,0.036
2255_110452,1219,0,0.0
2255_110545,1143,89,0.078
2255_114032,1159,7,0.006
2255_120784,1170,3,0.003
2255_120785,1445,18,0.012
2255_129283,1929,18,0.009
2255_142921,1506,57,0.038
2255_144017,1479,43,0.029
2255_149789,1375,0,0.0
2255_154587,1325,17,0.013
2255_160649,1491,0,0.0
2255_165709,1598,0,0.0
2258_82574,1039,21,0.02
2258_86246,809,43,0.053
2258_86255,894,19,0.021
2258_164542,879,15,0.017
2258_164551,788,7,0.009
2258_164560,767,0,0.0
2258_164661,833,19,0.023
2258_164670,671,19,0.028
2291_84182,2235,387,0.173
2291_106328,626,77,0.123
2300_84761,3677,85,0.023
2306_84905,413,12,0.029
2306_98863,444,60,0.135
2306_98864,247,17,0.069
2314_85321,1791,41,0.023
2314_91290,1637,77,0.047
2314_91365,1736,34,0.02
2314_97462,1842,61,0.033
2367_87720,1779,41,0.023
2367_87736,1205,31,0.026
2367_90830,1049,20,0.019
2367_93911,1181,70,0.059
2367_97745,1440,44,0.031
2367_109978,1255,33,0.026
2367_117201,1113,29,0.026
2367_128760,1256,54,0.043
2367_133856,70,7,0.1
2410_89519,2684,0,0.0
2410_97497,2041,22,0.011
2410_110426,2354,0,0.0
2418_89871,910,17,0.019
2431_90434,2583,299,0.116
2438_90975,1296,14,0.011
2438_91540,1181,110,0.093
2441_91100,1374,7,0.005
2441_91746,1312,19,0.014
2441_94749,1274,0,0.0
2441_98122,1356,1,0.001
2441_103769,1425,0,0.0
2441_106148,1321,17,0.013
2441_111561,1288,10,0.008
2441_113367,1371,0,0.0
2441_116433,1452,0,0.0
2441_119910,1408,0,0.0
2441_125778,1740,5,0.003
2441_130740,1559,11,0.007
2441_140313,1436,27,0.019
2441_147727,1027,0,0.0
2441_150529,1093,1,0.001
2451_91489,2911,151,0.052
2451_94926,2733,149,0.055
2451_116164,2685,214,0.08
2451_127924,49,12,0.245
2451_137549,3197,105,0.033
2451_164214,733,53,0.072
2464_92235,2321,162,0.07
2468_92542,1895,78,0.041
2468_98528,1898,41,0.022
2468_114697,1461,83,0.057
2468_114701,1402,136,0.097
2468_115960,1422,88,0.062
2468_122234,1368,37,0.027
2468_129551,1211,163,0.135
2468_144039,1190,200,0.168
2468_160019,1309,43,0.033
2471_92679,1651,12,0.007
2471_95234,1745,3,0.002
2471_101712,2234,105,0.047
2471_101717,1682,7,0.004
2471_107289,1451,0,0.0
2471_111398,1797,14,0.008
2480_92985,1016,0,0.0
2480_94848,1460,0,0.0
2480_99015,1292,0,0.0
2480_101626,1349,0,0.0
